scene_id,datetime,cloud_cover,zone_id,provider,bbox,bands_available,asset_hrefs
S2B_T48PWS_20260429T032740_L2A,2026-04-29T03:35:11.963000+00:00,26.465622,A01,aws_earth_search,"[105.02, 10.45, 105.06, 10.49]",['SCL'],{'SCL': 'https://e84-earth-search-sentinel-data.s3.us-west-2.amazonaws.com/sentinel-2-c1-l2a/48/P/WS/2026/4/S2B_T48PWS_20260429T032740_L2A/SCL.tif'}
S2C_T48PVS_20260424T033320_L2A,2026-04-24T03:35:19.043000+00:00,17.923023,A01,aws_earth_search,"[105.02, 10.45, 105.06, 10.49]",['SCL'],{'SCL': 'https://e84-earth-search-sentinel-data.s3.us-west-2.amazonaws.com/sentinel-2-c1-l2a/48/P/VS/2026/4/S2C_T48PVS_20260424T033320_L2A/SCL.tif'}
S2C_T48PWS_20260424T033320_L2A,2026-04-24T03:35:15.914000+00:00,22.323984,A01,aws_earth_search,"[105.02, 10.45, 105.06, 10.49]",['SCL'],{'SCL': 'https://e84-earth-search-sentinel-data.s3.us-west-2.amazonaws.com/sentinel-2-c1-l2a/48/P/WS/2026/4/S2C_T48PWS_20260424T033320_L2A/SCL.tif'}
S2B_T48PWS_20260429T032740_L2A,2026-04-29T03:35:11.963000+00:00,26.465622,A02,aws_earth_search,"[105.13, 10.36, 105.17, 10.4]",['SCL'],{'SCL': 'https://e84-earth-search-sentinel-data.s3.us-west-2.amazonaws.com/sentinel-2-c1-l2a/48/P/WS/2026/4/S2B_T48PWS_20260429T032740_L2A/SCL.tif'}
S2C_T48PWS_20260424T033320_L2A,2026-04-24T03:35:15.914000+00:00,22.323984,A02,aws_earth_search,"[105.13, 10.36, 105.17, 10.4]",['SCL'],{'SCL': 'https://e84-earth-search-sentinel-data.s3.us-west-2.amazonaws.com/sentinel-2-c1-l2a/48/P/WS/2026/4/S2C_T48PWS_20260424T033320_L2A/SCL.tif'}
S2B_T48PWS_20260429T032740_L2A,2026-04-29T03:35:11.963000+00:00,26.465622,A03,aws_earth_search,"[105.56, 10.04, 105.6, 10.08]",['SCL'],{'SCL': 'https://e84-earth-search-sentinel-data.s3.us-west-2.amazonaws.com/sentinel-2-c1-l2a/48/P/WS/2026/4/S2B_T48PWS_20260429T032740_L2A/SCL.tif'}
S2C_T48PWS_20260424T033320_L2A,2026-04-24T03:35:15.914000+00:00,22.323984,A03,aws_earth_search,"[105.56, 10.04, 105.6, 10.08]",['SCL'],{'SCL': 'https://e84-earth-search-sentinel-data.s3.us-west-2.amazonaws.com/sentinel-2-c1-l2a/48/P/WS/2026/4/S2C_T48PWS_20260424T033320_L2A/SCL.tif'}
S2B_T48PWS_20260429T032740_L2A,2026-04-29T03:35:11.963000+00:00,26.465622,D01,aws_earth_search,"[105.65, 10.49, 105.69, 10.53]",['SCL'],{'SCL': 'https://e84-earth-search-sentinel-data.s3.us-west-2.amazonaws.com/sentinel-2-c1-l2a/48/P/WS/2026/4/S2B_T48PWS_20260429T032740_L2A/SCL.tif'}
S2C_T48PWS_20260424T033320_L2A,2026-04-24T03:35:15.914000+00:00,22.323984,D01,aws_earth_search,"[105.65, 10.49, 105.69, 10.53]",['SCL'],{'SCL': 'https://e84-earth-search-sentinel-data.s3.us-west-2.amazonaws.com/sentinel-2-c1-l2a/48/P/WS/2026/4/S2C_T48PWS_20260424T033320_L2A/SCL.tif'}
S2B_T48PWS_20260429T032740_L2A,2026-04-29T03:35:11.963000+00:00,26.465622,E01,aws_earth_search,"[105.81, 10.29, 105.85, 10.33]",['SCL'],{'SCL': 'https://e84-earth-search-sentinel-data.s3.us-west-2.amazonaws.com/sentinel-2-c1-l2a/48/P/WS/2026/4/S2B_T48PWS_20260429T032740_L2A/SCL.tif'}
S2C_T48PWS_20260424T033320_L2A,2026-04-24T03:35:15.914000+00:00,22.323984,E01,aws_earth_search,"[105.81, 10.29, 105.85, 10.33]",['SCL'],{'SCL': 'https://e84-earth-search-sentinel-data.s3.us-west-2.amazonaws.com/sentinel-2-c1-l2a/48/P/WS/2026/4/S2C_T48PWS_20260424T033320_L2A/SCL.tif'}
S2B_T48PWS_20260429T032740_L2A,2026-04-29T03:35:11.963000+00:00,26.465622,F01,aws_earth_search,"[105.7, 9.98, 105.74, 10.02]",['SCL'],{'SCL': 'https://e84-earth-search-sentinel-data.s3.us-west-2.amazonaws.com/sentinel-2-c1-l2a/48/P/WS/2026/4/S2B_T48PWS_20260429T032740_L2A/SCL.tif'}
S2C_T48PWS_20260424T033320_L2A,2026-04-24T03:35:15.914000+00:00,22.323984,F01,aws_earth_search,"[105.7, 9.98, 105.74, 10.02]",['SCL'],{'SCL': 'https://e84-earth-search-sentinel-data.s3.us-west-2.amazonaws.com/sentinel-2-c1-l2a/48/P/WS/2026/4/S2C_T48PWS_20260424T033320_L2A/SCL.tif'}
